Time UTC,Hex,Callsign,Altitude,Speed,Latitude,Longitude,Registration,Model,Operator
2025-05-05 05:50:33,B26799,,,,,,,,
2025-05-05 05:47:12,7C6DB4,,14875,363,-37.50653,145.54126
2025-05-05 05:52:33,B26799,,,,,
2025-05-05 06:04:28,7C6D26,VOZ850,15875,337,-37.46887,145.60628
2025-05-05 06:04:29,7C6D26,VOZ850,15325,336,-37.46979,145.60473
2025-05-05 06:04:33,7C6D26,VOZ850,15325,335,-37.47180,145.60128
2025-05-05 06:04:38,7C6D26,VOZ850,15200,334,-37.47418,145.59715
2025-05-05 06:05:18,7C6DC9,QFA172,21625,272,-37.95589,146.09596
2025-05-05 06:05:48,7C6DC9,QFA172,20100,261,-37.96326,146.00394
2025-05-05 06:05:58,7C6DC9,QFA172,19625,256,-37.96683,145.95974
2025-05-05 06:06:08,7C6DC9,QFA172,19500,257,-37.96791,145.94573
2025-05-05 06:06:13,7C6DC9,QFA172,19350,261,-37.96912,145.93046
2025-05-05 06:06:18,7C6DC9,QFA172,19300,264,-37.96968,145.92387
2025-05-05 06:06:19,7C6DC9,QFA172,19250,268,-37.97031,145.91591
2025-05-05 06:06:23,7C6DC9,QFA172,19250,268,-37.97043,145.91432
2025-05-05 06:06:28,7C6DC9,QFA172,19175,273,-37.97108,145.90674
2025-05-05 06:06:38,7C6DC9,QFA172,19125,275,-37.97159,145.90019
2025-05-05 06:06:47,7C6DC9,QFA172,18975,278,-37.97317,145.88094
2025-05-05 06:06:52,7C6DC9,QFA172,18850,280,-37.97420,145.86776
2025-05-05 06:06:54,7C6D26,,15000,333,-37.47860,145.58945
2025-05-05 06:06:58,7C6DC9,QFA172,18775,281,-37.97480,145.85987
2025-05-05 06:07:08,7C6DC9,QFA172,18700,282,-37.97543,145.85204
2025-05-05 06:07:18,7C6DC9,QFA172,18525,282,-37.97681,145.83445
2025-05-05 06:07:18,7C6DC9,QFA172,18375,281,-37.97809,145.81773
2025-05-05 06:07:28,7C6DC9,QFA172,18375,281,-37.97813,145.81709
2025-05-05 06:07:38,7C6DC9,QFA172,18225,281,-37.97932,145.80183
2025-05-05 06:07:48,7C6DC9,QFA172,18075,281,-37.98056,145.78530
2025-05-05 06:07:58,7C6DC9,QFA172,17900,281,-37.98183,145.76875
2025-05-05 06:19:30,7C6B17,,,,,,VH-VFT,A320,Jetstar Airways
2025-05-05 06:20:01,7C6B17,,,,,,VH-VFT,A320,Jetstar Airways
2025-05-05 06:20:01,7C6B17,,,455,,,VH-VFT,A320,Jetstar Airways
2025-05-05 06:20:01,7C6B17,,,,,,VH-VFT,A320,Jetstar Airways
2025-05-05 06:20:01,7C6B17,,,455,,,VH-VFT,A320,Jetstar Airways
2025-05-05 06:20:01,7C6B17,,25275,,,,VH-VFT,A320,Jetstar Airways
2025-05-05 06:20:01,7C6B17,,25325,,,,VH-VFT,A320,Jetstar Airways
2025-05-05 06:20:01,7C6B17,,,,,,VH-VFT,A320,Jetstar Airways
2025-05-05 06:20:01,7C6B17,,,,,,VH-VFT,A320,Jetstar Airways
2025-05-05 06:23:43,7C6D9B,,,,,,VH-VXP,B738,
2025-05-05 06:31:13,7C045C,,,,,,,,
2025-05-05 06:31:14,7C045C,,,,,,,,
2025-05-05 06:31:15,7C045C,,,,,,,,
